Tcp_Variante, Num_Fluxos, Flow_Id, Rx (bytes), Rx (Mbytes), TPut Med, TPut Med Norm
TcpNewReno, 20, 1, 82000568, 78.20183563232422, 0.04344546424018012, 0.004555655499882571
TcpNewReno, 20, 3, 79946260, 76.24269485473633, 0.04235705269707574, 0.004441525564360017
TcpNewReno, 20, 5, 79891592, 76.19055938720703, 0.04232808854844835, 0.004438488407655595
TcpNewReno, 20, 7, 72690012, 69.32259750366211, 0.03851255416870117, 0.004038394623733948
TcpNewReno, 20, 9, 70906624, 67.621826171875, 0.037567681206597224, 0.00393931602527077
TcpNewReno, 20, 11, 65982548, 62.92586135864258, 0.03495881186591254, 0.0036657521407957284
TcpNewReno, 20, 13, 67216440, 64.10259246826172, 0.03561255137125651, 0.0037343027254216924
TcpNewReno, 20, 15, 67458560, 64.33349609375, 0.035740831163194445, 0.0037477540384617627
TcpNewReno, 20, 17, 64187920, 61.21437072753906, 0.0340079837375217, 0.0035660490885139045
TcpNewReno, 20, 19, 60221556, 57.4317512512207, 0.03190652847290039, 0.003345692224996371
TcpNewReno, 20, 21, 58949412, 56.21854019165039, 0.03123252232869466, 0.003275016497356989
TcpNewReno, 20, 23, 59254288, 56.50929260253906, 0.03139405144585503, 0.0032919543071802354
TcpNewReno, 20, 25, 56390148, 53.777835845947266, 0.029876575469970704, 0.003132833029588187
TcpNewReno, 20, 27, 58006272, 55.319091796875, 0.030732828776041665, 0.0032226190441081376
TcpNewReno, 20, 29, 54925020, 52.38058090209961, 0.029100322723388673, 0.0030514358076661153
TcpNewReno, 20, 31, 54282420, 51.76774978637695, 0.028759860992431642, 0.003015735271735382
TcpNewReno, 20, 33, 53710276, 51.222110748291016, 0.02845672819349501, 0.0029839490167874304
TcpNewReno, 20, 35, 52409052, 49.98116683959961, 0.02776731491088867, 0.0029116577093396675
TcpNewReno, 20, 37, 52761348, 50.317142486572266, 0.027953968048095704, 0.0029312300031558106
TcpNewReno, 20, 39, 52161956, 49.74551773071289, 0.02763639873928494, 0.0028979299477051505
TcpNewReno, 20, Total_TcpNewReno_20, 1263352272.0, 1204.8266143798828, 0.6693481190999349, 0.07018729097371545
