#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),Last Router Ocupation Packet Sent(Packets),Network Situation,AckArrival(ms),TSInsideAck(ms),RTTAck(ms),Input_1,Input_2,Input_3,NetworkPrevision CPP
140161,28.5713,28.5713,600,40880,0,0,1,35800,35200,600,0.0319862,0.0342588,0.688508,1
159141,1.42856,1.42856,600,39420,0,0,1,35800,35200,600,0.00159931,0.00171294,0.688508,1
179581,570.071,570.071,600,49859,0,0,1,36400,35800,600,0.638209,0.683554,0.688508,1
181041,1548.5,1548.5,600,1460,0,0,1,38000,37400,600,1.73359,1.85676,0.688508,2
267181,647.425,647.425,600,59860,0,0,1,38600,38000,600,0.724809,0.776306,0.688508,1
348501,1552.37,1552.37,600,1460,0,0,1,40200,39600,600,1.73792,1.8614,0.688508,2
427941,1597.62,1597.62,600,1460,0,0,1,41800,41200,600,1.78857,1.91565,0.688508,2
455681,649.881,649.881,600,64240,0,0,1,42400,41800,600,0.727558,0.779251,0.688508,1
465901,32.4941,32.4941,600,68620,0,0,1,42400,41800,600,0.0363779,0.0389625,0.688508,1
471741,1.6247,1.6247,600,73000,0,0,1,42400,41800,600,0.0018189,0.00194813,0.688508,1
477581,0.0812352,0.0812352,600,77380,0,0,1,42400,41800,600,9.09448e-05,9.74064e-05,0.688508,1
479441,0.00406176,0.00406176,600,81760,0,0,1,42400,41800,600,4.54724e-06,4.87032e-06,0.688508,1
482361,9.5002,9.5002,600,86140,0,0,1,42410,41810,600,0.0106357,0.0113914,0.688508,1
483821,0.47501,0.47501,600,90520,0,0,1,42410,41810,600,0.000531786,0.000569569,0.688508,1
491121,570.024,570.024,600,60540,0,0,1,43010,42410,600,0.638156,0.683496,0.688508,1
527621,28.5012,28.5012,600,67840,0,0,1,43010,42410,600,0.0319078,0.0341748,0.688508,1
534921,1.42506,1.42506,600,64920,0,0,1,43010,42410,600,0.00159539,0.00170874,0.688508,1
536381,560.571,560.571,600,67060,0,0,1,43600,43000,600,0.627573,0.672162,0.688508,1
539301,987.529,987.529,600,1460,0,0,1,44610,44010,600,1.10556,1.18411,0.688508,1
556821,619.376,619.376,600,94900,0,0,1,45210,44610,600,0.693407,0.742674,0.688508,1
627781,30.9688,30.9688,600,99280,0,0,1,45210,44610,600,0.0346704,0.0371337,0.688508,1
630701,1.54844,1.54844,600,103660,0,0,1,45210,44610,600,0.00173352,0.00185669,0.688508,1
669761,570.077,570.077,600,32520,0,0,1,45810,45210,600,0.638216,0.683561,0.688508,1
672681,598.504,598.504,600,112420,0,0,1,46410,45810,600,0.67004,0.717646,0.688508,1
675601,29.9252,29.9252,600,116800,0,0,1,46410,45810,600,0.033502,0.0358823,0.688508,1
678521,1.49626,1.49626,600,121180,0,0,1,46410,45810,600,0.0016751,0.00179412,0.688508,1
681441,0.074813,0.074813,600,125560,0,0,1,46410,45810,600,8.37551e-05,8.97058e-05,0.688508,1
