x,y,z
213.457,194.69,0.953285
189.775,170.353,0.945374
169.053,149.059,0.932203
150.921,130.427,0.918177
135.056,114.123,0.903405
121.174,99.858,0.88798
109.027,87.3758,0.871982
98.3989,76.4538,0.855484
89.099,66.8971,0.838549
80.9617,58.5349,0.82123
73.8415,51.2181,0.803576
66.1113,44.8158,0.786879
59.3474,39.2138,0.741019
53.4289,34.3121,0.702142
48.2503,30.0231,0.664374
43.719,26.2702,0.632577
39.7542,22.9864,0.606005
36.2849,20.1131,0.584005
33.2493,17.599,0.566004
30.5931,15.3991,0.551504
28.269,13.4742,0.540066
26.2354,11.7899,0.531307
24.4559,10.3162,0.524894
22.8989,9.02668,0.520532
21.5366,7.89834,0.517966
20.3445,6.91105,0.51697
19.3014,6.04717,0.517349
18.3888,5.29127,0.51893
17.5902,4.62986,0.521564
16.8914,4.05113,0.525118
16.28,3.54474,0.529479
15.37,3.10165,0.534544
14.9487,2.71394,0.537726
14.5801,2.3747,0.54176
14.2576,2.07786,0.54654
13.9754,1.81813,0.551973
13.7285,1.59086,0.556726
13.5124,1.392,0.562135
13.3234,1.218,0.568118
13.158,1.06575,0.570854
13.0132,0.932534,0.574497
12.8866,0.815967,0.578935
12.7757,0.713971,0.582818
12.6788,0.624725,0.587466
12.5939,0.546634,0.592782
12.5197,0.478305,0.597435
12.4547,0.418517,0.601505
12.3979,0.366202,0.605067
12.3481,0.320427,0.608184
11.9296,0.280374,0.613411
11.9384,0.245327,0.615484
11.9461,0.214661,0.617299
11.9529,0.187828,0.618887
11.9587,0.16435,0.620276
11.9639,0.143806,0.621491
11.4684,0.12583,0.622555
11.5349,0.110102,0.620986
11.593,0.0963389,0.619612
10.3939,0.0842965,0.620911
10.5946,0.0737595,0.619547
10.7703,0.0645395,0.618354
10.924,0.0564721,0.617309
9.93352,0.0494131,0.618896
10.1918,0.0432364,0.617784
10.4179,0.0378319,0.616811
10.6156,0.0331029,0.615959
10.0387,0.028965,0.613964
10.2838,129.775,0.609719
10.4984,113.553,0.603504
10.6861,99.3592,0.595566
10.8503,86.9393,0.58612
10.994,76.0719,0.575355
11.1198,66.5629,0.563436
11.2298,58.2426,0.550506
11.3261,50.9622,0.536693
11.4103,56.592,0.522106
11.484,49.518,0.506843
11.5485,43.3282,0.490988
11.605,37.9122,0.474614
11.6543,33.1732,0.457787
11.6975,29.0265,0.440564
11.7354,25.3982,0.422994
11.7684,22.2234,0.405119
11.7974,31.4455,0.386979
11.8227,27.5148,0.368607
11.8449,24.0755,0.350031
11.8643,21.066,0.331277
11.8812,18.4328,0.312368
11.8961,16.1287,0.293322
11.9091,14.1126,0.274156
11.9204,12.3485,0.254887
11.9304,10.805,0.235526
11.9391,9.45434,0.216085
11.9467,8.27254,0.196575
11.9534,7.23848,0.177003
11.9592,6.33367,0.157377
11.9643,5.54196,0.137705
11.9688,4.84921,0.120492
11.9727,4.24306,0.105431
11.9761,3.71268,0.0922518
11.9791,3.24859,0.0807203
11.9817,2.84252,0.0706303
11.984,2.4872,0.0618015
11.986,2.1763,0.0540763
11.9877,1.90427,0.0473168
11.9893,1.66623,0.0414022
11.9906,1.45795,0.0362269
11.9918,1.27571,0.0316985
11.9928,1.11625,0.0277362
11.9937,0.976715,0.0242692
11.9945,0.854626,0.0212355
11.9952,46.2478,0.0185811
11.9958,40.4668,0.0162585
11.9963,35.4085,0.0142262
11.9968,30.9824,0.0124479
11.2472,27.1096,0.0108919
35.8555,14.2201,0.975228
12.5616,0.226544,0.992105
12.4914,0.198226,0.984342
12.43,0.173448,0.978799
12.3762,0.151767,0.9752
12.3292,0.132796,0.96955
12.288,0.116196,0.963356
12.252,0.101672,0.959186
12.2205,0.0889628,0.954288
12.193,0.0778425,0.947502
12.1688,0.0681122,0.940314
12.1477,0.0595981,0.929025
12.1293,0.0521484,0.917897
12.1131,0.0456298,0.90691
12.099,0.0399261,0.894796
10.7116,0.0349353,0.884197
10.8727,0.0305684,0.873672
11.0136,0.0267474,0.865713
9.88688,0.0234039,0.861249
10.151,0.0204785,0.856093
10.3821,0.0179186,0.851581
10.5844,0.0156788,0.848884
9.51133,0.013719,0.846523
9.82241,0.0120041,0.839458
9.21961,0.0105036,0.834525
9.56716,0.00919063,0.82896
9.87126,0.0080418,0.82534
8.88735,0.00703658,0.823422
9.27644,0.00615701,0.819245
9.61688,0.00538738,0.814339
9.91477,0.00471396,0.808797
10.1754,0.00412471,0.800197
9.1535,0.00360912,0.795172
9.50931,0.00315798,0.788276
9.82065,0.00276324,0.780991
8.84307,0.00241783,0.777117
8.36268,0.0021156,0.772478
8.81735,0.00185115,0.767168
9.21518,0.00161976,0.760022
8.31328,0.00141729,0.755019
8.77412,0.00124013,0.749392
9.17736,0.00108511,0.739468
9.53019,0.000949472,0.727034
9.83891,0.000830788,0.711155
8.85905,0.00072694,0.696011
9.25167,0.000636072,0.677759
9.59521,0.000556563,0.663039
8.64581,0.000486993,0.65266
9.06508,0.000426119,0.641077
9.43195,0.000372854,0.629692
8.50295,0.000326247,0.622231
8.94008,0.000285466,0.614452
8.44757,0.000249783,0.610146
8.89163,0.00021856,0.605127
9.28017,0.00019124,0.601986
8.37015,0.000167335,0.600488
8.82388,0.000146418,0.597927
9.2209,0.000128116,0.596936
8.31829,0.000112101,0.598569
8.7785,0.0000980888,0.597498
9.18119,0.0000858277,0.596561
8.28354,0.0000750992,0.598241
8.7481,0.0000657118,0.597211
9.15458,0.0000574978,0.596309
8.26026,0.0000503106,0.598021
8.72773,0.0000440218,0.597018
8.26176,0.0000385191,0.597391
8.72904,0.0000337042,0.595217
8.26291,0.0000294912,0.593315
8.73005,0.0000258048,0.58915
9.13879,0.0000225792,0.583007
9.49644,0.0000197568,0.575131
9.80939,0.0000172872,0.565739
10.0832,0.0000151263,0.555022
10.3228,0.0000132355,0.541894
10.5325,0.0000115811,0.527907
10.7159,0.0000101334,0.513169
10.8764,0.00000886674,0.497773
11.0169,0.0000077584,0.480551
11.1398,0.0000067886,0.462982
11.2473,0.00000594003,0.44511
11.3414,0.00000519752,0.426971
11.4237,0.00000454783,0.4086
11.4957,0.00000397935,0.390025
11.5588,0.00000348193,0.371272
11.6139,0.00000304669,0.352363
11.6622,0.00000266586,0.333317
11.7044,0.00000233262,0.314153
11.7414,0.00000204105,0.294884
11.7737,0.00000178592,0.275523
11.802,0.00000156268,0.256083
11.8267,0.00000136734,0.236572
11.8484,0.00000119642,0.217001
10.6173,0.00000104687,0.199876
10.7902,0.000000916012,0.182391
10.9414,0.00000080151,0.164592
11.0737,0.000000701322,0.146518
11.1895,0.000000613656,0.128204
10.0408,0.000000536949,0.112178
10.2857,0.000000469831,0.0981558
10.5,0.000000411102,0.0858863
10.6875,0.000000359714,0.0751505
10.8516,0.00000031475,0.0657567
10.9951,0.000000275406,0.0575371
11.1207,0.00000024098,0.050345
11.2306,0.000000210858,0.0440519
11.3268,0.000000184501,0.0385454
11.411,0.000000161438,0.0337272
11.4846,0.000000141258,0.0295113
11.549,0.000000123601,0.0258224
11.6054,0.000000108151,0.0225946
11.6547,0.000000094632,0.0197703
11.6979,0.000000082803,0.017299
11.7356,0.0000000724526,0.0151366
11.7687,0.000000063396,0.0132445
11.7976,0.0000000554715,0.011589
11.8229,0.0000000485376,0.0113903
10.97,0.0000000424704,0.0112166
37.8488,313.375,0.00981449
62.3677,303.453,0.00858768
56.0717,265.521,0.0162642
50.5628,232.331,0.0217312
45.7424,203.29,0.0340148
41.5246,177.879,0.0422629
37.834,155.644,0.0457301
36.1048,138.438,0.0437638
34.5917,121.134,0.0470433
47.5177,132.992,0.0411629
44.578,116.368,0.0422676
41.2558,103.322,0.0482341
39.0988,91.9067,0.0584548
37.2114,80.4183,0.072398
35.56,77.866,0.0895982
34.115,68.1328,0.109648
32.8506,62.6162,0.132192
37.7443,54.7892,0.146918
36.0263,65.1905,0.164804
34.523,57.0417,0.185453
33.2076,52.9115,0.203521
32.0567,46.2976,0.219331
31.0496,42.7604,0.233165
30.1684,37.4153,0.245269
29.3973,35.7384,0.255861
28.7227,31.2711,0.265128
28.1323,30.3622,0.273237
27.6158,26.5669,0.280332
27.1638,26.2461,0.289041
26.7683,22.9653,0.296661
26.4223,23.0946,0.303328
26.1195,20.2078,0.309162
25.8546,20.6818,0.314267
25.6227,18.0966,0.318734
25.4199,24.8345,0.322642
25.2424,21.7302,0.326062
25.0871,22.0139,0.329054
