#Ack,ack_ewma(ms),send_ewma(ms),rtt_ratio,cwnd (Bytes),Last Router Ocupation Ack Arriaval(Packets),AckArrival(ms)
35041,800,800,800,1460,0,42600
36501,800,800,800,1460,0,43400
37961,800,800,800,1460,0,44200
39421,800,800,800,1460,0,45000
40881,800,800,800,1460,0,45800
42341,800,800,800,1460,0,46600
43801,800,800,800,1460,0,47400
45261,800,800,800,1460,0,48200
46721,800,800,800,1460,0,49000
48181,800,800,800,1460,0,49800
49641,800,800,800,1460,0,50600
51101,800,800,800,1460,0,51400
52561,800,800,800,1460,0,52200
54021,800,800,800,1460,0,53000
55481,800,800,800,1460,0,53800
56941,800,800,800,1460,0,54600
58401,800,800,800,1460,0,55400
59861,800,800,800,1460,0,56200
61321,800,800,800,1460,0,57000
62781,800,800,800,1460,0,57800
64241,800,800,800,1460,0,58600
65701,800,800,800,1460,0,59400
67161,800,800,800,1460,0,60200
68621,800,800,800,1460,0,61000
70081,800,800,800,1460,0,61800
71541,800,800,800,1460,0,62600
73001,800,800,800,1460,0,63400
74461,800,800,800,1460,0,64200
75921,800,800,800,1460,0,65000
77381,800,800,800,1460,0,65800
78841,800,800,800,1460,0,66600
80301,800,800,800,1460,0,67400
81761,800,800,800,1460,0,68200
83221,800,800,800,1460,0,69000
84681,800,800,800,1460,0,69800
86141,800,800,800,1460,0,70600
87601,800,800,800,1460,0,71400
89061,800,800,800,1460,0,72200
90521,800,800,800,1460,0,73000
91981,800,800,800,1460,0,73800
93441,800,800,800,1460,0,74600
94901,800,800,800,1460,0,75400
96361,800,800,800,1460,0,76200
97821,800,800,800,1460,0,77000
99281,800,800,800,1460,0,77800
100741,800,800,800,1460,0,78600
102201,800,800,800,1460,0,79400
103661,800,800,800,1460,0,80200
105121,800,800,800,1460,0,81000
106581,800,800,800,1460,0,81800
108041,800,800,800,1460,0,82600
109501,800,800,800,1460,0,83400
110961,800,800,800,1460,0,84200
112421,800,800,800,1460,0,85000
113881,800,800,800,1460,0,85800
115341,800,800,800,1460,0,86600
116801,800,800,800,1460,0,87400
118261,800,800,800,1460,0,88200
119721,800,800,800,1460,0,89000
121181,800,800,800,1460,0,89800
122641,800,800,800,1460,0,90600
124101,800,800,800,1460,0,91400
125561,800,800,800,1460,0,92200
127021,800,800,800,1460,0,93000
128481,800,800,800,1460,0,93800
129941,800,800,800,1460,0,94600
131401,800,800,800,1460,0,95400
132861,800,800,800,1460,0,96200
134321,800,800,800,1460,0,97000
135781,800,800,800,1460,0,97800
137241,800,800,800,1460,0,98600
138701,800,800,800,1460,0,99400
140161,800,800,800,1460,0,100200
141621,800,800,800,1460,0,101000
143081,800,800,800,1460,0,101800
144541,800,800,800,1460,0,102600
146001,800,800,800,1460,0,103400
147461,800,800,800,1460,0,104200
148921,800,800,800,1460,0,105000
150381,800,800,800,1460,0,105800
151841,800,800,800,1460,0,106600
153301,800,800,800,1460,0,107400
154761,800,800,800,1460,0,108200
156221,800,800,800,1460,0,109000
157681,800,800,800,1460,0,109800
159141,800,800,800,1460,0,110600
160601,800,800,800,1460,0,111400
162061,800,800,800,1460,0,112200
163521,800,800,800,1460,0,113000
164981,800,800,800,1460,0,113800
166441,800,800,800,1460,0,114600
167901,800,800,800,1460,0,115400
169361,800,800,800,1460,0,116200
170821,800,800,800,1460,0,117000
172281,800,800,800,1460,0,117800
173741,800,800,800,1460,0,118600
175201,800,800,800,1460,0,119400
176661,800,800,800,1460,0,120200
178121,800,800,800,1460,0,121000
179581,800,800,800,1460,0,121800
181041,800,800,800,1460,0,122600
182501,800,800,800,1460,0,123400
183961,800,800,800,1460,0,124200
185421,800,800,800,1460,0,125000
186881,800,800,800,1460,0,125800
188341,800,800,800,1460,0,126600
189801,800,800,800,1460,0,127400
191261,800,800,800,1460,0,128200
192721,800,800,800,1460,0,129000
194181,800,800,800,1460,0,129800
195641,800,800,800,1460,0,130600
197101,800,800,800,1460,0,131400
198561,800,800,800,1460,0,132200
200021,800,800,800,1460,0,133000
201481,800,800,800,1460,0,133800
202941,800,800,800,1460,0,134600
204401,800,800,800,1460,0,135400
205861,800,800,800,1460,0,136200
207321,800,800,800,1460,0,137000
208781,800,800,800,1460,0,137800
210241,800,800,800,1460,0,138600
211701,800,800,800,1460,0,139400
213161,800,800,800,1460,0,140200
214621,800,800,800,1460,0,141000
216081,800,800,800,1460,0,141800
217541,800,800,800,1460,0,142600
219001,800,800,800,1460,0,143400
220461,800,800,800,1460,0,144200
221921,800,800,800,1460,0,145000
223381,800,800,800,1460,0,145800
224841,800,800,800,1460,0,146600
226301,800,800,800,1460,0,147400
227761,800,800,800,1460,0,148200
229221,800,800,800,1460,0,149000
230681,800,800,800,1460,0,149800
232141,800,800,800,1460,0,150600
233601,800,800,800,1460,0,151400
235061,800,800,800,1460,0,152200
236521,800,800,800,1460,0,153000
237981,800,800,800,1460,0,153800
239441,800,800,800,1460,0,154600
240901,800,800,800,1460,0,155400
242361,800,800,800,1460,0,156200
243821,800,800,800,1460,0,157000
245281,800,800,800,1460,0,157800
246741,800,800,800,1460,0,158600
248201,800,800,800,1460,0,159400
249661,800,800,800,1460,0,160200
251121,800,800,800,1460,0,161000
252581,800,800,800,1460,0,161800
254041,800,800,800,1460,0,162600
255501,800,800,800,1460,0,163400
256961,800,800,800,1460,0,164200
258421,800,800,800,1460,0,165000
259881,800,800,800,1460,0,165800
261341,800,800,800,1460,0,166600
262801,800,800,800,1460,0,167400
264261,800,800,800,1460,0,168200
265721,800,800,800,1460,0,169000
267181,800,800,800,1460,0,169800
268641,800,800,800,1460,0,170600
270101,800,800,800,1460,0,171400
271561,800,800,800,1460,0,172200
273021,800,800,800,1460,0,173000
274481,800,800,800,1460,0,173800
275941,800,800,800,1460,0,174600
277401,800,800,800,1460,0,175400
278861,800,800,800,1460,0,176200
280321,800,800,800,1460,0,177000
281781,800,800,800,1460,0,177800
283241,800,800,800,1460,0,178600
284701,800,800,800,1460,0,179400
286161,800,800,800,1460,0,180200
287621,800,800,800,1460,0,181000
289081,800,800,800,1460,0,181800
290541,800,800,800,1460,0,182600
292001,800,800,800,1460,0,183400
293461,800,800,800,1460,0,184200
294921,800,800,800,1460,0,185000
296381,800,800,800,1460,0,185800
297841,800,800,800,1460,0,186600
299301,800,800,800,1460,0,187400
300761,800,800,800,1460,0,188200
302221,800,800,800,1460,0,189000
303681,800,800,800,1460,0,189800
305141,800,800,800,1460,0,190600
306601,800,800,800,1460,0,191400
308061,800,800,800,1460,0,192200
309521,800,800,800,1460,0,193000
310981,800,800,800,1460,0,193800
312441,800,800,800,1460,0,194600
313901,800,800,800,1460,0,195400
315361,800,800,800,1460,0,196200
316821,800,800,800,1460,0,197000
318281,800,800,800,1460,0,197800
319741,800,800,800,1460,0,198600
321201,800,800,800,1460,0,199400
322661,800,800,800,1460,0,200200
324121,800,800,800,1460,0,201000
325581,800,800,800,1460,0,201800
327041,800,800,800,1460,0,202600
328501,800,800,800,1460,0,203400
329961,800,800,800,1460,0,204200
331421,800,800,800,1460,0,205000
332881,800,800,800,1460,0,205800
334341,800,800,800,1460,0,206600
335801,800,800,800,1460,0,207400
337261,800,800,800,1460,0,208200
338721,800,800,800,1460,0,209000
340181,800,800,800,1460,0,209800
341641,800,800,800,1460,0,210600
343101,800,800,800,1460,0,211400
344561,800,800,800,1460,0,212200
346021,800,800,800,1460,0,213000
347481,800,800,800,1460,0,213800
348941,800,800,800,1460,0,214600
350401,800,800,800,1460,0,215400
351861,800,800,800,1460,0,216200
353321,800,800,800,1460,0,217000
354781,800,800,800,1460,0,217800
356241,800,800,800,1460,0,218600
357701,800,800,800,1460,0,219400
359161,800,800,800,1460,0,220200
360621,800,800,800,1460,0,221000
362081,800,800,800,1460,0,221800
363541,800,800,800,1460,0,222600
365001,800,800,800,1460,0,223400
366461,800,800,800,1460,0,224200
367921,800,800,800,1460,0,225000
369381,800,800,800,1460,0,225800
370841,800,800,800,1460,0,226600
372301,800,800,800,1460,0,227400
373761,800,800,800,1460,0,228200
375221,800,800,800,1460,0,229000
376681,800,800,800,1460,0,229800
378141,800,800,800,1460,0,230600
379601,800,800,800,1460,0,231400
381061,800,800,800,1460,0,232200
382521,800,800,800,1460,0,233000
383981,800,800,800,1460,0,233800
385441,800,800,800,1460,0,234600
386901,800,800,800,1460,0,235400
388361,800,800,800,1460,0,236200
389821,800,800,800,1460,0,237000
391281,800,800,800,1460,0,237800
392741,800,800,800,1460,0,238600
394201,800,800,800,1460,0,239400
395661,800,800,800,1460,0,240200
397121,800,800,800,1460,0,241000
398581,800,800,800,1460,0,241800
400041,800,800,800,1460,0,242600
401501,800,800,800,1460,0,243400
402961,800,800,800,1460,0,244200
404421,800,800,800,1460,0,245000
405881,800,800,800,1460,0,245800
407341,800,800,800,1460,0,246600
408801,800,800,800,1460,0,247400
410261,800,800,800,1460,0,248200
411721,800,800,800,1460,0,249000
413181,800,800,800,1460,0,249800
414641,800,800,800,1460,0,250600
416101,800,800,800,1460,0,251400
417561,800,800,800,1460,0,252200
419021,800,800,800,1460,0,253000
420481,800,800,800,1460,0,253800
421941,800,800,800,1460,0,254600
423401,800,800,800,1460,0,255400
424861,800,800,800,1460,0,256200
426321,800,800,800,1460,0,257000
427781,800,800,800,1460,0,257800
429241,800,800,800,1460,0,258600
430701,800,800,800,1460,0,259400
432161,800,800,800,1460,0,260200
433621,800,800,800,1460,0,261000
435081,800,800,800,1460,0,261800
436541,800,800,800,1460,0,262600
438001,800,800,800,1460,0,263400
439461,800,800,800,1460,0,264200
440921,800,800,800,1460,0,265000
442381,800,800,800,1460,0,265800
443841,800,800,800,1460,0,266600
445301,800,800,800,1460,0,267400
446761,800,800,800,1460,0,268200
448221,800,800,800,1460,0,269000
449681,800,800,800,1460,0,269800
451141,800,800,800,1460,0,270600
452601,800,800,800,1460,0,271400
454061,800,800,800,1460,0,272200
455521,800,800,800,1460,0,273000
456981,800,800,800,1460,0,273800
458441,800,800,800,1460,0,274600
459901,800,800,800,1460,0,275400
461361,800,800,800,1460,0,276200
462821,800,800,800,1460,0,277000
464281,800,800,800,1460,0,277800
465741,800,800,800,1460,0,278600
467201,800,800,800,1460,0,279400
468661,800,800,800,1460,0,280200
470121,800,800,800,1460,0,281000
471581,800,800,800,1460,0,281800
473041,800,800,800,1460,0,282600
474501,800,800,800,1460,0,283400
475961,800,800,800,1460,0,284200
477421,800,800,800,1460,0,285000
478881,800,800,800,1460,0,285800
480341,800,800,800,1460,0,286600
481801,800,800,800,1460,0,287400
483261,800,800,800,1460,0,288200
484721,800,800,800,1460,0,289000
486181,800,800,800,1460,0,289800
487641,800,800,800,1460,0,290600
489101,800,800,800,1460,0,291400
490561,800,800,800,1460,0,292200
492021,800,800,800,1460,0,293000
493481,800,800,800,1460,0,293800
494941,800,800,800,1460,0,294600
496401,800,800,800,1460,0,295400
497861,800,800,800,1460,0,296200
499321,800,800,800,1460,0,297000
500781,800,800,800,1460,0,297800
502241,800,800,800,1460,0,298600
503701,800,800,800,1460,0,299400
505161,800,800,800,1460,0,300200
506621,800,800,800,1460,0,301000
508081,800,800,800,1460,0,301800
509541,800,800,800,1460,0,302600
511001,800,800,800,1460,0,303400
512461,800,800,800,1460,0,304200
513921,800,800,800,1460,0,305000
515381,800,800,800,1460,0,305800
516841,800,800,800,1460,0,306600
518301,800,800,800,1460,0,307400
519761,800,800,800,1460,0,308200
521221,800,800,800,1460,0,309000
522681,800,800,800,1460,0,309800
524141,800,800,800,1460,0,310600
525601,800,800,800,1460,0,311400
527061,800,800,800,1460,0,312200
528521,800,800,800,1460,0,313000
529981,800,800,800,1460,0,313800
531441,800,800,800,1460,0,314600
532901,800,800,800,1460,0,315400
534361,800,800,800,1460,0,316200
535821,800,800,800,1460,0,317000
537281,800,800,800,1460,0,317800
538741,800,800,800,1460,0,318600
540201,800,800,800,1460,0,319400
541661,800,800,800,1460,0,320200
543121,800,800,800,1460,0,321000
544581,800,800,800,1460,0,321800
546041,800,800,800,1460,0,322600
547501,800,800,800,1460,0,323400
548961,800,800,800,1460,0,324200
550421,800,800,800,1460,0,325000
551881,800,800,800,1460,0,325800
553341,800,800,800,1460,0,326600
554801,800,800,800,1460,0,327400
556261,800,800,800,1460,0,328200
557721,800,800,800,1460,0,329000
559181,800,800,800,1460,0,329800
560641,800,800,800,1460,0,330600
562101,800,800,800,1460,0,331400
563561,800,800,800,1460,0,332200
565021,800,800,800,1460,0,333000
566481,800,800,800,1460,0,333800
567941,800,800,800,1460,0,334600
